KEY,data_project_code,data_supp_hard_WM_community_pond,data_supp_hard_WM_rainwater,data_supp_hard_WM_dam,data_supp_hard_WM_watershed,data_supp_soft_WM_tech,data_supp_soft_WM_other,data_hard_infra_supp_CE_street,data_hard_infra_supp_CE_homesolar,data_hard_infra_supp_CE_bio_mass,data_hard_infra_supp_CE_community_biogas,data_hard_infra_supp_CE_houshold_biogas,data_hard_infra_supp_plantation_farmland,data_hard_infra_supp_plantation_forest,data_hard_infra_supp_plantation_community_lan,supp_hard_WM_community_pond_priority,supp_hard_WM_rainwater_priority,supp_hard_WM_dam_priority,supp_hard_WM_watershed_priority,supp_soft_WM_tech_priority,supp_soft_WM_other_priority,hard_infra_supp_CE_street_priority,hard_infra_supp_CE_homesolar_priority,hard_infra_supp_CE_bio_mass_priority,hard_infra_supp_CE_community_biogas_priority,hard_infra_supp_CE_houshold_biogas_priority,hard_infra_supp_plantation_farmland_priority,hard_infra_supp_plantation_forest_priority,hard_infra_supp_plantation_community_land_priority,supp_hard_WM_community_pond_sufficency,supp_hard_WM_rainwater_sufficency,supp_hard_WM_dam_sufficency,supp_hard_WM_watershed_sufficency,supp_soft_WM_tech_sufficency,supp_soft_WM_other_sufficency,hard_infra_supp_CE_street_sufficency,hard_infra_supp_CE_homesolar_sufficency,hard_infra_supp_CE_bio_mass_sufficency,hard_infra_supp_CE_community_biogas_sufficency,hard_infra_supp_CE_houshold_biogas_sufficency,hard_infra_supp_plantation_farmland_sufficency,hard_infra_supp_plantation_forest_sufficency,hard_infra_supp_plantation_community_land_sufficency,data_supp_hard_WM_community_pond_score_type_1,data_supp_hard_WM_rainwater_score_type_1,data_supp_hard_WM_dam_score_type_1,data_supp_hard_WM_watershed_score_type_1,data_supp_soft_WM_tech_score_type_1,data_supp_soft_WM_other_score_type_1,data_hard_infra_supp_CE_street_score_type_1,data_hard_infra_supp_CE_homesolar_score_type_1,data_hard_infra_supp_CE_bio_mass_score_type_1,data_hard_infra_supp_CE_community_biogas_score_type_1,data_hard_infra_supp_CE_houshold_biogas_score_type_1,data_hard_infra_supp_plantation_farmland_score_type_1,data_hard_infra_supp_plantation_forest_score_type_1,data_hard_infra_supp_plantation_community_lan_score_type_1,supp_hard_WM_community_pond_efficiency,supp_hard_WM_rainwater_efficiency,supp_hard_WM_dam_efficiency,supp_hard_WM_watershed_efficiency,supp_soft_WM_tech_efficiency,supp_soft_WM_other_efficiency,hard_infra_supp_CE_street_efficiency,hard_infra_supp_CE_homesolar_efficiency,hard_infra_supp_CE_bio_mass_efficiency,hard_infra_supp_CE_community_biogas_efficiency,hard_infra_supp_CE_houshold_biogas_efficiency,hard_infra_supp_plantation_farmland_efficiency,hard_infra_supp_plantation_forest_efficiency,hard_infra_supp_plantation_community_land_efficiency,supp_hard_WM_community_pond_quality,supp_hard_WM_rainwater_quality,supp_hard_WM_dam_quality,supp_hard_WM_watershed_quality,supp_soft_WM_tech_quality,supp_soft_WM_other_quality,hard_infra_supp_CE_street_quality,hard_infra_supp_CE_homesolar_quality,hard_infra_supp_CE_bio_mass_quality,hard_infra_supp_CE_community_biogas_quality,hard_infra_supp_CE_houshold_biogas_quality,hard_infra_supp_plantation_farmland_quality,hard_infra_supp_plantation_forest_quality,hard_infra_supp_plantation_community_land_quality,data_supp_hard_WM_community_pond_score_type_2,data_supp_hard_WM_rainwater_score_type_2,data_supp_hard_WM_dam_score_type_2,data_supp_hard_WM_watershed_score_type_2,data_supp_soft_WM_tech_score_type_2,data_supp_soft_WM_other_score_type_2,data_hard_infra_supp_CE_street_score_type_2,data_hard_infra_supp_CE_homesolar_score_type_2,data_hard_infra_supp_CE_bio_mass_score_type_2,data_hard_infra_supp_CE_community_biogas_score_type_2,data_hard_infra_supp_CE_houshold_biogas_score_type_2,data_hard_infra_supp_plantation_farmland_score_type_2,data_hard_infra_supp_plantation_forest_score_type_2,data_hard_infra_supp_plantation_community_lan_score_type_2,supp_hard_WM_community_pond_sustainbility,supp_hard_WM_rainwater_sustainbility,supp_hard_WM_dam_sustainbility,supp_hard_WM_watershed_sustainbility,supp_soft_WM_tech_sustainbility,supp_soft_WM_other_sustainbility,hard_infra_supp_CE_street_sustainbility,hard_infra_supp_CE_homesolar_sustainbility,hard_infra_supp_CE_bio_mass_sustainbility,hard_infra_supp_CE_community_biogas_sustainbility,hard_infra_supp_CE_houshold_biogas_sustainbility,hard_infra_supp_plantation_farmland_sustainbility,hard_infra_supp_plantation_forest_sustainbility,hard_infra_supp_plantation_community_land_sustainbility,supp_hard_WM_community_pond_current_status,supp_hard_WM_rainwater_current_status,supp_hard_WM_dam_current_status,supp_hard_WM_watershed_current_status,supp_soft_WM_tech_current_status,supp_soft_WM_other_current_status,hard_infra_supp_CE_street_current_status,hard_infra_supp_CE_homesolar_current_status,hard_infra_supp_CE_bio_mass_current_status,hard_infra_supp_CE_community_biogas_current_status,hard_infra_supp_CE_houshold_biogas_current_status,hard_infra_supp_plantation_farmland_current_status,hard_infra_supp_plantation_forest_current_status,hard_infra_supp_plantation_community_land_current_status
uuid:035b4d24-fd6f-4239-8aef-e247f0f1a4c2,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,
uuid:040984fc-fc2e-4080-b84f-20aad5eeaa93,P0398,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,
uuid:06b7c008-4edb-4877-9430-fafc0645a358,P0354,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,
uuid:07633832-a45c-4786-9710-197d2bbdc2fc,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
uuid:07bb1394-1e6d-4bb0-99fd-d98eb66d89d6,P0357,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,
uuid:080f6f2b-1da0-4f1d-9d52-1217d114e3fe,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
uuid:0a78c150-f319-4b6a-b710-a5dff14f263e,P0398,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,
uuid:09b1f8e5-3558-4c53-b14b-f46540808fe0,P0359,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
uuid:0a303cb0-5fda-4ac8-9fb7-3f2575792475,P0326,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,
uuid:0c0286c2-32dd-49b8-b889-62db564bac34,P0326,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,
uuid:0d7f9c7c-14af-4edb-b96c-1301de152eb1,P0359,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,
uuid:0e41fe2d-185e-4f3e-b979-3da78701ed6e,P0338,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,
uuid:0e91350a-05fc-4cfe-8f03-c89e8db3d5b4,P0338,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,
uuid:10d303a6-695e-419e-88b6-fbdf5ff6b4e8,P0326,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,
uuid:11fdc3c9-f076-4f5c-9e75-8c6b9a2b4c35,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,
uuid:122a19a6-6e0d-4057-9692-c3666dfb2640,P0326,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,
uuid:12485f1d-8ee4-4b0c-b924-923b6866a137,P0326,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,
uuid:1485fa85-1d0c-4672-a533-9c1183ad7bdf,P0359,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,
uuid:0ab9a8e4-e147-4aa5-bea9-52f7d54408e8,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,
uuid:0b6981a5-9ec8-402f-a95e-8d645c647534,P0338,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4
uuid:0b88ac5f-9b43-4be8-934f-1701f3348d65,P0349,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,
uuid:0f47569b-a5b0-41db-a9a9-bf3d147c3317,P0359,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
uuid:0f52caef-c2cb-40e8-bc0e-0b843789ee4e,P0338,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,
uuid:0f5c44d0-6887-4529-9877-a7873610f122,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,
uuid:0ffcc2ed-0dbc-4d78-b604-75522ed32a81,P0326,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,,
uuid:133fc6ad-2fec-4566-a459-52d2d7d5f12d,P0326,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
uuid:13bc4b7f-2210-4122-a8be-e770dba136a5,P0398,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,
uuid:14406d01-3460-4a14-b5ae-a6e7c22512a5,P0357,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,
uuid:15109b84-04e2-48e4-8053-6167f3e61590,P0326,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,
uuid:15eae01f-44e0-4d7a-93c0-c2f54ac7e1e1,P0326,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,
uuid:16190334-bde9-4900-b1cc-df37048edc98,P0354,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,
uuid:162c528c-27aa-4a46-9553-c0a86813bfd9,P0357,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,
uuid:18f19038-3b41-44b5-9e7e-df93c183158c,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
uuid:1903cfe8-3a88-4562-9c38-037d5d247fb8,P0357,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,
uuid:1937db75-960b-4267-87ca-9f5bee816c55,P0398,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,
uuid:196c080c-5a19-4ed2-bb46-f5b235e714a0,P0326,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,
uuid:1b216221-60a9-4136-871a-d0dfad2e28c3,P0359,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,
